Coding4Fun.Toolkit.Controls, 2.0.9, MIT
ExifLib,1.6.3.0, CPOL
Microsoft.Bcl,1.1.10, Microsoft
Microsoft.Bcl.Build,1.0.21,Microsoft
Microsoft.Net.Http,2.2.29,Microsoft
Newtonsoft.Json,6.0.8,MIT
WPtoolkit,4.2013.08.16,WPToolkit
WriteableBitmapEx,1.5.0.0, MIT
